"";"carat";"cut";"color";"clarity";"depth";"table";"price";"x";"y";"z"
"53558";0,71;"Premium";"F";"VS2";60,8;58;2694;5,79;5,76;3,51
"31304";0,32;"Ideal";"D";"VS2";61,3;56;758;4,37;4,41;2,69
"38421";0,3;"Very Good";"E";"IF";60,1;60;1026;4,3;4,32;2,59
"27131";4,13;"Fair";"H";"I1";64,8;61;17329;10;9,85;6,43
"25202";2,01;"Ideal";"I";"SI2";62,3;57;13796;8,06;8,08;5,03
"44123";0,5;"Very Good";"E";"VS2";62,8;60;1559;5,02;5,08;3,17
"40066";0,43;"Premium";"G";"VS2";61,1;58;1113;4,88;4,84;2,97
"52194";0,77;"Ideal";"H";"VS2";60,6;57;2479;5,93;5,89;3,58
"27652";1,7;"Premium";"F";"VS1";60,6;58;18598;7,71;7,68;4,66
"34889";0,31;"Ideal";"D";"VS2";59,4;57;879;4,5;4,45;2,66
"46017";0,53;"Premium";"E";"VS2";61,4;55;1727;5,24;5,21;3,21
"20405";1,51;"Premium";"J";"VVS2";62,6;59;8770;7,31;7,33;4,58
"25737";1,26;"Premium";"D";"VVS2";60,5;58;14663;6,99;7,03;4,24
"19213";1,21;"Ideal";"E";"SI1";62,1;56;7955;6,83;6,88;4,26
"32559";0,38;"Ideal";"I";"VVS1";62,4;54,8;800;4,64;4,66;2,9
"10177";1,1;"Ideal";"H";"SI2";62;55;4733;6,61;6,65;4,11
"18722";1,17;"Very Good";"H";"IF";59,3;59;7644;6,92;6,98;4,12
"6609";0,9;"Very Good";"H";"VS2";63,3;59;4082;6,05;6,01;3,82
"49097";0,52;"Ideal";"G";"VVS1";61,6;55;2063;5,14;5,18;3,18
"34660";0,31;"Ideal";"E";"VS2";61,8;55;872;4,35;4,33;2,68
"1186";0,7;"Very Good";"G";"VVS2";60,8;57;2931;5,72;5,76;3,49
"15323";1,01;"Very Good";"G";"VS1";62,8;58;6152;6,34;6,37;3,99
"19098";1,51;"Premium";"H";"SI2";60,4;59;7864;7,3;7,27;4,4
"2464";0,7;"Ideal";"F";"VVS2";62;55;3191;5,71;5,67;3,53
"36822";0,7;"Fair";"G";"I1";66,7;55;956;5,64;5,49;3,71
"23892";2;"Good";"J";"SI1";64,2;61;11988;7,72;7,69;4,95
"29747";0,43;"Ideal";"J";"SI1";61,9;54;708;4,88;4,84;3,01
"6951";1;"Premium";"J";"VS1";62,8;57;4144;6,39;6,35;4
"31106";0,41;"Ideal";"F";"SI1";61,4;57;753;4,76;4,79;2,93
"49958";0,3;"Premium";"H";"SI1";61,2;62;540;4,31;4,28;2,63
"18048";0,35;"Ideal";"E";"SI1";61;57;614;4,54;4,57;2,78
"37409";0,38;"Premium";"G";"VS2";59,9;58;983;4,77;4,72;2,84
"3694";0,9;"Good";"H";"SI1";62,1;61;3447;6,07;6,11;3,78
"4102";0,7;"Very Good";"F";"VVS1";60,6;60;3536;5,67;5,7;3,45
